,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
piped_rich,124.6437813,40.12290339,20.5279839,144.2668352,51.23685779,26.26816455,124.6437813,29.54554742,17.41624808,144.2668352,37.6629063,22.19801677,124.6437813,40.14133424,20.42955726,144.2668352,50.94826841,25.36742999,124.6437813,29.56896446,17.11874007,144.2668352,37.17122973,21.36666789,127.6737299,40.72903158,21.07777903,147.7942221,52.1395218,27.06607514,127.6737299,31.34548525,20.53608334,147.7942221,39.99979913,26.30769765,124.6437813,40.43730163,20.70801244,144.2668352,51.37928219,26.37078676,124.6437813,29.94926414,20.01167427,144.2668352,37.97041312,24.60895979,150.5986901,71.45653001,45.08125983,170.0596891,89.35500379,56.95671131,150.5986901,55.78657814,39.68573389,170.0596891,69.81681891,49.16832359,154.8039904,75.34509474,47.17373736,174.4096563,92.77891465,59.55782436,154.8039904,59.78496269,44.07150546,174.4096563,73.69351061,55.35944352
piped_mid,74.56973548,21.98201409,12.52526378,92.27240813,26.86147948,15.44571318,74.56973548,16.96372505,11.01989901,92.27240813,20.92860853,13.59855158,74.56973548,22.04845723,12.55699544,92.27240813,27.09521533,15.35124115,74.56973548,17.03516988,10.95456283,92.27240813,20.99893604,13.46762012,76.44530931,22.32538292,12.88043447,94.51034945,27.63336097,15.91681415,76.44530931,17.83146948,12.4322353,94.51034945,22.2697591,15.32787951,74.56973548,22.12803921,12.61709666,92.27240813,26.92545373,15.49928731,74.56973548,17.15320469,12.21660601,92.27240813,21.0682674,14.55407494,88.01438136,35.99689716,25.26227661,107.7880833,43.14656881,30.8504161,88.01438136,28.43048123,22.06689531,107.7880833,34.28330466,26.67652676,90.37435593,38.37276696,26.64006382,110.4482257,46.22410032,33.03513836,90.37435593,30.52598243,24.34366727,110.4482257,36.89260062,30.01389889
piped_poor,38.20226036,12.55913648,8.247816868,42.69179103,14.97580244,9.920014025,38.20226036,10.27582349,7.614118532,42.69179103,12.40316215,9.151725782,38.20226036,12.68122815,8.371922659,42.69179103,15.21336217,10.00156062,38.20226036,10.39893406,7.690779476,42.69179103,12.55486439,9.196798802,38.85807269,12.82140836,8.494688201,43.46910114,15.66047181,10.17314449,38.85807269,10.74859417,8.201427647,43.46910114,13.27355134,9.824233427,38.20226036,12.61076661,8.278905043,42.69179103,14.99863962,9.938923528,38.20226036,10.34590646,8.078686589,42.69179103,12.45684444,9.497191797,43.65510753,18.59320181,15.21232799,48.36505862,22.04433266,18.01068288,43.65510753,14.78466003,13.29965968,48.36505862,17.72939294,15.84233684,44.64683136,20.31281269,16.21541706,49.3904239,24.27672251,19.48647654,44.64683136,16.0414181,14.58790121,49.3904239,19.38534365,17.5183672
well_rich,18.64323252,45.69547549,22.03045564,6.102269319,41.18993804,28.05964837,18.64323252,48.62201671,20.6573151,6.102269319,47.08331251,28.54432358,18.64323252,32.84426088,21.2070298,6.102269319,25.77901748,22.7458605,18.64323252,36.87304781,21.56639014,6.102269319,32.24636235,25.96755514,18.206865,51.13299857,26.36666617,5.886364282,50.39953611,28.07667132,18.206865,54.43653851,23.94021928,5.886364282,57.00539114,30.23832737,18.64323252,45.64688512,21.99920522,6.102269319,41.18340231,27.96067414,18.64323252,48.52052143,19.5400875,6.102269319,47.09618561,28.65326311,18.40730412,46.11350919,24.32598474,4.91046678,40.41234579,30.22078716,18.40730412,49.95428064,22.68175743,4.91046678,47.59685869,30.52286333,18.17437368,35.81094085,23.32671708,4.900543015,26.86268519,32.89438175,18.17437368,42.12094594,23.4395251,4.900543015,36.62209063,34.22037807
well_mid,27.64346891,32.88096789,23.72453894,18.174857,34.77083902,25.26195462,27.64346891,33.91299207,23.84807613,18.174857,36.38761894,25.56762282,27.64346891,25.70409762,20.30471211,18.174857,26.58635017,21.0722442,27.64346891,27.02016346,20.72680314,18.174857,28.43105336,21.83951731,27.2607391,36.91312041,27.0914277,17.76616556,39.15795567,29.62147665,27.2607391,38.06989125,27.23385004,17.76616556,41.04287224,30.45634172,27.64346891,32.80435793,23.61908321,18.174857,34.73845994,25.1301924,27.64346891,33.8226326,22.87404101,18.174857,36.34508027,25.4987107,26.6637956,33.29983796,24.08898011,15.72095617,35.39785241,25.79955957,26.6637956,34.70322034,24.31526256,15.72095617,37.55448056,26.11731341,26.35864414,29.43452179,24.71681077,15.41829778,30.26529935,24.75332566,26.35864414,31.39836123,25.03392289,15.41829778,33.26132117,26.4196545
well_poor,9.797540509,14.76946899,11.66317182,8.463078223,15.91520434,11.98560192,9.797540509,15.15925292,11.77663383,8.463078223,16.20509974,12.03592198,9.797540509,11.44010795,9.59303316,8.463078223,12.36345909,9.734546859,9.797540509,11.78214152,9.94461126,8.463078223,12.66632945,9.915782127,9.664638209,15.52555248,13.14371546,8.254595991,14.81832493,12.8958994,9.664638209,15.94781174,14.05851429,8.254595991,15.31932211,13.4403139,9.797540509,14.76048838,11.640209,8.463078223,15.90541172,11.92147203,9.797540509,15.14990156,11.39071296,8.463078223,16.19690387,12.00618187,8.576158642,14.86217812,11.71507036,6.769185316,15.77734074,11.52753749,8.576158642,15.61230411,11.94789143,6.769185316,16.62292235,11.82328005,8.409567247,14.92148572,12.86927001,6.581017149,14.34404134,12.60391827,8.409567247,15.66849747,13.28292242,6.581017149,15.59254385,13.73937808
tanker_rich,3.285900169,3.49358437,3.466609651,3.189514635,5.676807774,5.59242513,3.285900169,3.529552354,4.504826416,3.189514635,5.692335798,6.390869607,3.285900169,3.505221798,3.473006362,3.189514635,5.649108559,5.573616502,3.285900169,3.53219865,4.512597023,3.189514635,5.685050297,6.391405033,3.264623563,5.082744467,3.881244173,3.059021511,5.938865268,5.126337758,3.264623563,5.143928767,3.987331878,3.059021511,6.041273401,6.718697512,3.285900169,16.75082899,20.94589899,3.189514635,12.87736598,15.24971537,3.285900169,21.8941464,21.77701522,3.189514635,15.82729902,19.80299612,3.662391838,3.587006091,3.726754439,2.743220804,5.84517645,6.065271071,3.662391838,3.513802008,4.552177593,2.743220804,5.710393942,6.878889932,3.694275603,16.73591422,23.72061162,2.664195802,11.35287719,10.07875575,3.694275603,20.28597098,29.81701663,2.664195802,13.52415274,15.38874569
tanker_mid,11.16088688,10.40973244,10.24025003,10.81861358,13.78056769,13.52515408,11.16088688,10.24600891,10.33206009,10.81861358,13.51395802,13.26013094,11.16088688,10.42809965,10.23686984,10.81861358,13.79302707,13.56347712,11.16088688,10.23841638,10.336016,10.81861358,13.56085468,13.30710184,11.21006511,9.120302385,9.014699627,10.59435684,12.10325974,11.62484885,11.21006511,8.99168114,8.787222283,10.59435684,11.85438541,11.33857778,11.16088688,30.08750497,31.37118823,10.81861358,26.88578302,28.01128313,11.16088688,32.04401481,31.60699831,10.81861358,28.47778557,29.97788356,11.27518497,10.42654449,10.23804573,9.389785463,13.77523957,13.48817566,11.27518497,10.24812383,10.06597924,9.389785463,13.52863223,13.17033544,11.32692646,30.02755396,31.65193049,9.193453485,22.7646595,24.70696597,11.32692646,32.81996368,34.01456168,9.193453485,24.97066174,26.95948347
tanker_poor,3.462414701,4.194101664,4.140450522,2.558661598,4.088296568,4.075693446,3.462414701,4.109978284,4.0768583,2.558661598,4.055945178,3.986860607,3.462414701,4.193287489,4.132720098,2.558661598,4.066277898,4.069064623,3.462414701,4.10305117,4.072080823,2.558661598,4.047084167,3.976509239,3.454840601,3.150301381,2.789450879,2.520057495,3.791998563,3.420927169,3.454840601,3.116055621,2.618847651,2.520057495,3.751212056,3.332980346,3.462414701,11.75018482,12.03044922,2.558661598,8.467868581,8.781248807,3.462414701,12.15305555,12.081852,2.558661598,8.88979428,9.415157847,3.062566068,3.95120163,3.901318129,2.039306651,3.831487362,3.882550259,3.062566068,4.122771061,3.850277483,2.039306651,4.074040493,3.886261371,3.051311555,7.342934512,6.58185204,1.999416889,6.822463322,5.896724083,3.051311555,8.037082146,6.819644237,1.999416889,7.56686296,6.350279591
tanker_rich,146.5729139,89.31196325,46.02504919,153.5586192,98.10360361,59.92023805,146.5729139,81.69711648,42.57838959,153.5586192,90.4385546,57.13320996,146.5729139,76.49081692,45.10959343,153.5586192,82.37639444,53.68690699,146.5729139,69.97421092,43.19772724,153.5586192,75.10264237,53.72562807,149.1452185,96.94477462,51.32568937,156.7396079,108.4779232,60.26908421,149.1452185,90.92595253,48.46363449,156.7396079,103.0464637,63.26472253,146.5729139,102.8350157,63.65311665,153.5586192,105.4400505,69.58117627,146.5729139,100.363932,61.32877699,153.5586192,100.8938978,73.06521902,172.6683861,121.1570453,73.133999,177.7133766,135.612526,93.24276954,172.6683861,109.2546608,66.91966892,177.7133766,123.1240715,86.57007685,176.6726397,127.8919498,94.22106606,181.9743951,130.994477,102.5309619,176.6726397,122.1918796,97.3280472,181.9743951,123.839754,104.9685673
tanker_mid,113.3740913,65.27271443,46.49005275,121.2658787,75.41288618,54.23282188,113.3740913,61.12272603,45.20003522,121.2658787,70.83018548,52.42630535,113.3740913,58.1806545,43.0985774,121.2658787,67.47459258,49.98696247,113.3740913,54.29374973,42.01738196,121.2658787,62.99084408,48.61423927,114.9161135,68.35880571,48.98656179,122.8708719,78.89457638,57.16313964,114.9161135,64.89304187,48.45330762,122.8708719,75.16701676,57.12279901,113.3740913,85.01990211,67.60736811,121.2658787,88.54969669,68.64076284,113.3740913,83.0198521,66.69764532,121.2658787,85.89113323,70.0306692,125.9533619,79.72327961,59.58930245,132.8988249,92.31966079,70.13815134,125.9533619,73.38182541,56.44813711,132.8988249,85.36641745,65.9641756,128.0599265,97.83484271,83.00880508,135.059977,99.25405916,82.49542999,128.0599265,94.74430734,83.39215184,135.059977,95.12458353,83.39303686
tanker_poor,51.46221557,31.52270713,24.05143921,53.71353085,34.97930335,25.98130939,51.46221557,29.54505469,23.46761066,53.71353085,32.66420706,25.17450837,51.46221557,28.31462358,22.09767592,53.71353085,31.64309916,23.8051721,51.46221557,26.28412675,21.70747156,53.71353085,29.268278,23.08909017,51.97755151,31.49726221,24.42785454,54.24375463,34.2707953,26.48997106,51.97755151,29.81246153,24.87878959,54.24375463,32.3440855,26.59752767,51.46221557,39.12143981,31.94956326,53.71353085,39.37191992,30.64164437,51.46221557,37.64886357,31.55125154,53.71353085,37.54354259,30.91853151,55.29383224,37.40658156,30.82871648,57.17355059,41.65316076,33.42077063,55.29383224,34.5197352,29.09782859,57.17355059,38.42635578,31.55187826,56.10771016,42.57723292,35.66653911,57.97085794,45.44322718,37.98711889,56.10771016,39.74699772,34.69046787,57.97085794,42.54475046,37.60802487
